decision,review_notes,id,split,source_line,task_category,flags,instruction,output
,,test-00004-8f687d0018eb,test,4,knowledge_qa,short_output|title_only_output|title_only_task_mismatch|unverified_research_claim,针对桃仁、艾叶在妇科病中的应用进行综述研究。,《桃仁与艾叶在妇科病中的现代应用与机理探讨》
,,test-00018-49dfec9ba222,test,18,knowledge_qa,,白术有什么功效？,白术具有健脾益气、燥湿利水、止汗安胎的功效。常用于治疗脾胃虚弱、食欲不振、腹泻、水肿、自汗、胎动不安等症状。
,,test-00046-c277744b98cc,test,46,knowledge_qa,medical_advice|medical_advice_without_safety_language|personal_medical_advice|personal_medical_advice_without_safety_language,我患有肝肾阴虚证，请推荐一个适合的中药方剂。,肝肾阴虚证可选用代表方六味地黄丸进行治疗。六味地黄丸以滋阴补肾为主，能够调和肝肾阴虚引起的一系列症状。
,,test-00056-277b92a19495,test,56,knowledge_qa,medical_advice|personal_medical_advice,我患有支气管哮喘，中医有什么好的方剂可以缓解症状吗？,支气管哮喘在中医理论中多与肺气虚弱、外邪侵袭有关。可以使用定喘汤或射干麻黄汤等方剂来缓解症状。这些方剂通常含有麻黄、杏仁、甘草等药材，能够宣肺平喘、化痰止咳。请在中医师指导下使用。
,,test-00079-c8371c179a33,test,79,knowledge_qa,short_output|title_only_output|title_only_task_mismatch|unverified_research_claim,关于沙参在中医中的应用的研究报告,《沙参与现代中医学治疗慢性呼吸系统疾病研究进展》
,,test-00088-7eab2f15e487,test,88,knowledge_qa,heading_only_output|heading_only_task_mismatch|short_output,生姜的药用价值和临床应用,生姜的现代药理学研究及临床应用探讨
,,test-00120-e49912d3fb03,test,120,knowledge_qa,short_output|title_only_output|title_only_task_mismatch|unverified_research_claim,探索针灸在治疗焦虑症中的有效性和机制的研究报告。,《针灸治疗焦虑症：效果与潜在神经生物学机制探究》
,,test-00124-694b885ace5e,test,124,title_generation,short_output|title_only_output|unverified_research_claim,请根据以下内容生成一个中医文献标题：本文主要探讨了中药在治疗慢性心力衰竭方面的疗效和作用机制。,《中药治疗慢性心力衰竭的疗效及作用机制研究》
,,test-00136-273ee658a422,test,136,knowledge_qa,,甘草如何作为中药材被用于现代医疗？,甘草是具有广泛用途的中药材之一，其主要功能为补脾益气、祛痰止咳等。在现代医学中，甘草用于缓解呼吸系统疾病，如哮喘和慢性支气管炎。它也常用来帮助调节电解质水平，并有抗病毒、抗菌的作用。此外，在治疗糖尿病时，甘草可以提高胰岛素敏感性并降低血糖，但需要在医生指导下使用，因其具有潜在的副作用及药物相互作用风险。
,,test-00145-6e9c53ad0aef,test,145,title_generation,latin_text_fragment|short_output|title_only_output|unverified_research_claim,请根据以下内容生成一个文献标题：本研究探讨了中药复方制剂在治疗慢性阻塞性肺疾病(COPD)中的疗效和安全性。,《中药复方制剂治疗慢性阻塞性肺疾病疗效与安全性研究》
,,test-00161-f30fb284e56a,test,161,long_form_generation,unverified_research_claim,请根据中医理论，写一篇关于证候的研究文献。,证候是中医诊断和治疗疾病的重要依据，是疾病过程中某一阶段的病理概括。本文通过查阅相关文献，对证候的内涵、分类、诊断方法及其在临床中的应用进行了综述，以期为中医证候研究提供参考。
,,test-00174-906dc1ea2fe9,test,174,knowledge_qa,vulnerable_population|vulnerable_population_without_safety_language,婴儿出现呕血与黑便，应如何处理？,对于婴儿的呕血及黑便现象，建议尽快寻求专业中医医师的帮助。在了解婴儿的具体状况后可能采用止血、养血或者补气健脾等方法来调理。一般会结合观察症状表现、分析病因（如消化道疾病等）进行对症治疗并给予合适的食疗或草药建议。
,,test-00192-9b14e502b6ac,test,192,knowledge_qa,latin_text_fragment,Back Pain Without Radiation Nos的治疗通常包括哪些？,针对无放射性背痛(Nos)的情况，中医常用的治疗方法主要包括推拿、针灸和中药敷贴等。同时也会根据患者的体质进行辨证施治，通过补肝肾、壮阳气或疏通经络的方式改善症状。需要具体根据患者个体情况灵活运用不同的治疗手段。
,,test-00201-4b080786d773,test,201,title_generation,short_output|title_only_output|unverified_research_claim|vulnerable_population|vulnerable_population_without_safety_language,请根据以下内容生成一个中医文献的标题：本文研究了轻粉在治疗小儿感冒中的应用。,《轻粉在小儿感冒治疗中的临床应用研究》
,,test-00208-f240ceaf5bf7,test,208,knowledge_qa,vulnerable_population|vulnerable_population_without_safety_language,小儿脾胃虚弱的常见症状及调理方法有哪些？,小儿脾胃虚弱常见症状包括不想吃饭、挑食、大便稀或干结等。调理方法有食疗如红枣、山楂等，以及中医推拿如补脾经等。
,,test-00213-16fb527326d4,test,213,extraction_classification,potentially_toxic_herb|short_output|toxic_herb_without_safety_language,请将以下中药按药性分类：人参、黄芪、当归、川芎、砂仁、半夏。,温性药：人参、黄芪、当归、川芎、砂仁；寒性药：半夏。
,,test-00229-6bbdda8181af,test,229,long_form_generation,,佩兰是一种中草药，有哪些功效？请给出摘要,佩兰又称薄荷、芳香草，为菊科植物佩兰的全株。中医认为佩兰有清热解毒、开胃消食、止呕除胀、行气活血、宣肺定喘等作用，适用于口渴、食欲不振、胸腹胀满、恶心呕吐、腹泻、痛经等症状。佩兰还可以用于治疗风寒感冒、喉痹、咳嗽、痰多、乳腺炎等症状，具有祛风解表、开窍散结的功效。此外，佩兰还有清热解毒、消肿止痒的作用，可以用于湿疹、痤疮、痔疮等皮肤病的治疗。
,,test-00235-77214aa9e7bc,test,235,knowledge_qa,medical_advice|medical_advice_without_safety_language|personal_medical_advice|personal_medical_advice_without_safety_language|serious_condition|serious_condition_without_safety_language|vulnerable_population|vulnerable_population_without_safety_language,一位老年人近期出现尿频、尿急症状，请推荐适宜的中医疗法。,这可能是因为肾虚或者膀胱功能失调所致。建议首先到正规中医机构进行详细检查，诊断后再对症下药。中医常用治法有补肾壮阳、调和膀胱气机，可参考如六味地黄丸、济生肾气丸等方剂作为治疗参考。但具体处方需结合个人体质及病情特点定制。
,,test-00249-afddb49bab90,test,249,knowledge_qa,malformed_instruction|serious_condition|serious_condition_without_safety_language,与相关联的症状可能是什么？以胰腺肿瘤为例。,与胰腺肿瘤相关的常见症状包括：腹痛（特别是中上腹疼痛）、体重减轻、食欲不振、黄疸、腹泻等非特异性的消化道问题以及乏力和疲劳感。不过，由于这些症状与其他疾病也有相似表现，因此明确诊断时应结合医学检查结果进行分析。
,,test-00253-b527fed13bc9,test,253,knowledge_qa,latin_text_fragment|serious_condition|serious_condition_without_safety_language|unverified_research_claim,如何在关于多花八角莲作为甲状腺癌治疗的未来潜力的研究论文中引用古文献来增强其说服力。,"""[《神农本草经》卷上]，对于'多花八角莲'（英文名：""Mediterranean Spurge""），有言""苦、甘、温、无毒。""此乃对中药描述的古典文献。 通过引用这一古老的药学文献，我们可以看出多花八角莲具有药性和副作用等详细的药理性质，增强关于它作为甲状腺癌治疗未来的潜力这一研究论点的说服力与学术依据，同时也显示出该草药在中国传统医学中的悠久历史和潜在价值。"
,,test-00276-0b54331f6b6f,test,276,knowledge_qa,medical_advice|medical_advice_without_safety_language,请推荐一种中医方剂，用于治疗气虚引起的气短、乏力。,治疗气虚引起的气短、乏力，中医通常会推荐使用补气养血的方剂。例如，可以使用‘四君子汤’加味。四君子汤是一种经典的补气方剂，主要由人参、白术、茯苓、炙甘草组成，能够健脾益气。根据具体症状，还可能加入黄芪、当归等药材以增强补气养血的效果。建议在中医师的指导下使用。
,,test-00289-5c3347dad11e,test,289,knowledge_qa,heading_only_output|heading_only_task_mismatch|short_output|unverified_research_claim,研究中国南北药膳对消化系统影响的不同,南北药膳差异及其对消化系统的影响：基于地域特色的深入探讨
,,test-00295-d7825a37fbce,test,295,knowledge_qa,medical_advice|medical_advice_without_safety_language,针对湿热壅阻证，有哪些常用的方剂可以推荐？,针对湿热壅阻证，可以推荐使用茵陈蒿汤、龙胆泻肝汤等方剂。这些方剂具有清热利湿、疏肝解郁的作用，适用于湿热壅阻证的治疗。
,,test-00315-e89ca41ea010,test,315,knowledge_qa,medical_advice|medical_advice_without_safety_language,请推荐一种中药方剂，用于治疗痰瘀互结证。,对于痰瘀互结证，可以考虑使用二陈汤合桃红四物汤。二陈汤具有燥湿化痰的作用，桃红四物汤具有活血化瘀的作用。合用可以同时调理痰瘀，但具体使用还需根据个人情况进行调整，建议在中医师的指导下使用。
,,test-00319-11cbd1579a87,test,319,knowledge_qa,medical_advice|personal_medical_advice,我有2型糖尿病，近期感到容易焦虑、情绪低落，是否有推荐的草本植物或中成药帮助缓解焦虑症状？,在中医理论中，对于伴有焦虑症状的糖尿病患者，可以考虑使用具有安神、调理脏腑功能的中药进行辅助治疗。例如，可以在医生指导下尝试服用黄芪、人参等补气养血的药物来稳定情绪；同时配合龙眼肉、合欢皮以舒缓心脾并安神定志。请注意，糖尿病患者的用药应综合考虑血糖控制和药物的相互影响，并在专业医师指导下进行。
,,test-00324-62c36dd9ab81,test,324,knowledge_qa,document_style_output|document_style_task_mismatch|unverified_research_claim,探讨蒿芩清胆汤在现代临床应用中的效果与副作用评估研究。,本文旨在评价蒿芩清胆汤在治疗消化系统疾病中的效果，并分析潜在的不良反应，结合传统医学理论和现代药理学研究数据进行全面评估。
,,test-00330-0cf468434fbf,test,330,knowledge_qa,medical_advice|serious_condition,脑出血的症状和治疗方法是怎样的？,脑出血的症状通常表现为突发的剧烈头痛、意识障碍（如嗜睡或昏迷）、恶心呕吐以及肢体偏瘫等。一旦发现这些症状应立即就医。治疗方面，包括急性期管理和恢复期康复。首先应通过降颅内压和控制高血压来稳定病情；如果患者生命体征稳定，则可转入恢复期进行药物辅助及物理治疗以促进神经功能恢复。整体来说，脑出血的治疗需遵循个体化原则并在专业指导下进行。
,,test-00333-a8876fd712bf,test,333,knowledge_qa,potentially_toxic_herb|toxic_herb_without_safety_language,‘制草乌’在中医中有何用途？,制草乌是中医药材，具有祛风除湿、散寒止痛的功效。它通常用于治疗风寒湿痹、关节疼痛、跌打损伤等症状。但需注意，草乌具有一定的毒性，使用时必须严格按照医嘱，不可过量或长期使用。
,,test-00344-5fcdaa2298da,test,344,long_form_generation,,请将以下关于麻黄的文献摘要进行概括：麻黄具有发汗解表、宣肺平喘、利水消肿的功效，可用于治疗感冒、咳嗽、哮喘等疾病。,麻黄具有发汗解表、宣肺平喘、利水消肿的功效，适用于感冒、咳嗽、哮喘等疾病的治疗。
,,test-00391-5ee2b5fae974,test,391,title_generation,short_output|title_only_output|unverified_research_claim,请根据以下内容生成一个中医文献标题：金银花、连翘在现代药理学研究中的应用。,《金银花与连翘在现代药理学研究中的应用及展望》
,,test-00395-4b956b69e920,test,395,long_form_generation,serious_condition|serious_condition_without_safety_language,编写一个有关肝癌早期症状和预防措施的问题。,肝癌初期的症状可能比较隐匿，常见的包括右上腹疼痛或不适、食欲减退、体重下降及疲劳等。你是否了解肝癌的典型早期迹象，并知道一些有效的健康生活方式可以降低其风险吗？我们邀请您分享对肝脏健康的理解和预防策略。
,,test-00414-bd807489ed4d,test,414,extraction_classification,,请将以下症状归类到相应的中医证候：眼干涩疲劳、口干咽燥、大便干结。,眼干涩疲劳、口干咽燥、大便干结这些症状，可以归类到中医的“阴虚证”。治疗时，应滋阴降火、生津润燥，可使用中药方剂如六味地黄丸、一贯煎等。
,,test-00430-a5b850eb2602,test,430,knowledge_qa,medical_advice|medical_advice_without_safety_language|personal_medical_advice|personal_medical_advice_without_safety_language,我最近经常感到心悸，失眠，腰膝酸软，可能是心阴虚证，请推荐一些中药方剂。,针对心阴虚证，可以考虑使用天王补心丹或者朱砂安神丸。这些方剂都有滋阴养心、安神定志的作用，适用于心悸、失眠、腰膝酸软等症状。请在中医师的指导下使用。
,,test-00465-8598c86b7ae9,test,465,knowledge_qa,document_style_output|document_style_task_mismatch|unverified_research_claim,本文探讨了基于遗传性共济失调背景下的中药疗法及其作用机制，结合现代科学分析方法对其疗效进行评估。,本文主要研究在遗传性共济失调背景下，通过传统中草药疗法对患者病情的影响，并利用现代化评价手段探索其疗效与具体机理。
,,test-00491-502f6dc916ba,test,491,knowledge_qa,medical_advice|medical_advice_without_safety_language,请推荐几种适合缓解肩周炎的中药。,适合缓解肩周炎的中药有：羌活、独活、秦艽、桑枝、海桐皮、威灵仙等。这些药物具有祛风除湿、活血化瘀、通络止痛的作用。
,,test-00492-acbfd00cf4f1,test,492,title_generation,short_output|title_only_output|vulnerable_population|vulnerable_population_without_safety_language,请根据以下内容生成一个中医文献标题：使君子、儿童、健脾胃。,《使君子在儿童健脾胃中的应用研究》
,,test-00500-d2846f6809e5,test,500,extraction_classification,very_short_output,请从以下中药中，抽取一种具有清热解毒功效的中药：连翘、甘草、丹参、川芎。,具有清热解毒功效的中药是连翘。
,,test-00509-5d5ecc868ef9,test,509,knowledge_qa,potentially_toxic_herb|toxic_herb_without_safety_language,请根据中医理论，解释半夏在治疗中的作用。,半夏，味辛、性温、有毒，归脾、胃、肺经。在中医理论中，半夏具有燥湿化痰、降逆止呕、消痞散结的功效。因此，半夏常用于治疗痰多咳嗽、恶心呕吐、胸腹胀满等症状。但因其有毒，使用时需严格控制剂量，并遵循医嘱。
,,test-00511-3e8693adb70d,test,511,knowledge_qa,short_output|title_only_output|title_only_task_mismatch|unverified_research_claim,金钱草的现代药理研究进展,《金钱草的现代药理作用及其临床应用前景》
,,test-00517-4cb56607eac0,test,517,long_form_generation,serious_condition|serious_condition_without_safety_language|unverified_research_claim,编写一篇关于中医学在癌症早期检测中的应用的研究性文章。,'中医药对癌细胞的早期识别及干预策略研究' —— 该文探讨了中医诊断技术与现代生物技术融合在早期癌症筛查、治疗和预后的创新应用，通过综合分析脉诊、望闻问切等传统诊断方法，结合现代分子生物学与免疫学知识，提供了一套多维度评估癌变风险的方案。
,,test-00519-6421b23e627a,test,519,knowledge_qa,medical_advice|medical_advice_without_safety_language|personal_medical_advice|personal_medical_advice_without_safety_language,我最近头晕耳鸣，有什么中药推荐吗？,头晕耳鸣可能是由于多种原因引起的，如肾虚、血虚或肝阳上亢等。中药中常用的有天麻、钩藤、枸杞子等，可以镇静安神、补血养肝。建议您咨询专业的中医师，根据具体的体质和病因来选择合适的中药。
,,test-00531-ac51657fc6ed,test,531,knowledge_qa,medical_advice|personal_medical_advice,我需要为患有宫外孕Ⅱ号病史的女性推荐一种中药方剂，以预防复发并提高受孕几率。,针对宫外孕Ⅱ号这类情况，中医常常使用具有活血化瘀、调理冲任、补肾调经的功能来预防和改善相关症状。例如，“宫外孕汤”（即四物汤加减）可用于补气血、通经脉；“桂枝茯苓丸”的方剂能助于温阳散寒，调经止痛等作用。此外，调整生活习惯、保持良好的情绪状态也相当重要。具体使用哪一方剂及其剂量，需根据患者具体情况和专业医生指导来进行。在预防宫外孕复发和提高受孕几率的综合治疗中，药物疗法应结合定期随访、生活方式调整以及心理辅导等多个方面共同作用。
,,test-00538-90c767e7ffe1,test,538,rewriting_editing,,请编辑以下关于鬼箭羽的描述，使其更加准确和详细。,鬼箭羽，又名鬼箭、天南星，是一种常见的中药材。它具有辛、温的性质，归肝、肺、胃经。鬼箭羽具有祛风除湿、解毒止痛的功效，常用于治疗风湿痹痛、跌打损伤、痈疽肿毒等症状。使用时需注意，鬼箭羽有毒，应严格掌握用量，避免过量使用。
